ngram_ids,count,smoothed_count
"(160, 89)",21,21.01
"(142, 109)",21,21.01
"(85, 223)",21,21.01
"(34, 1104)",21,21.01
"(93, 134)",21,21.01
"(72, 160)",21,21.01
"(686, 106)",21,21.01
"(415, 102)",21,21.01
"(142, 197)",21,21.01
"(96, 54)",21,21.01
"(9, 380)",21,21.01
"(11, 1769)",21,21.01
"(254, 102)",21,21.01
"(93, 160)",21,21.01
"(89, 188)",21,21.01
"(11, 877)",21,21.01
"(93, 149)",21,21.01
"(317, 88)",21,21.01
"(34, 495)",21,21.01
"(160, 394)",21,21.01
"(868, 101)",21,21.01
"(436, 153)",21,21.01
"(155, 11)",21,21.01
"(11, 45)",21,21.01
"(109, 553)",21,21.01
"(1047, 101)",20,20.01
"(197, 93)",20,20.01
"(357, 11)",20,20.01
"(236, 698)",20,20.01
"(172, 9)",20,20.01
"(117, 149)",20,20.01
"(193, 88)",20,20.01
"(88, 524)",20,20.01
"(97, 656)",20,20.01
"(34, 1207)",20,20.01
"(397, 453)",20,20.01
"(155, 102)",20,20.01
"(102, 596)",20,20.01
"(54, 10)",20,20.01
"(88, 286)",20,20.01
"(93, 218)",20,20.01
"(103, 101)",20,20.01
"(351, 9)",20,20.01
"(11, 460)",20,20.01
"(88, 993)",20,20.01
"(127, 9)",20,20.01
"(351, 101)",20,20.01
"(11, 31)",20,20.01
"(371, 93)",20,20.01
"(127, 34)",20,20.01
"(351, 11)",20,20.01
"(104, 489)",20,20.01
"(293, 449)",19,19.01
"(9, 96)",19,19.01
"(128, 376)",19,19.01
"(545, 9)",19,19.01
"(197, 102)",19,19.01
"(88, 1120)",19,19.01
"(88, 57)",19,19.01
"(102, 190)",19,19.01
"(93, 181)",19,19.01
"(163, 268)",19,19.01
"(117, 394)",19,19.01
"(315, 9)",19,19.01
"(188, 1332)",19,19.01
"(89, 383)",19,19.01
"(184, 102)",19,19.01
"(160, 132)",19,19.01
"(93, 128)",19,19.01
"(181, 415)",19,19.01
"(183, 94)",19,19.01
"(3, 141)",19,19.01
"(436, 88)",19,19.01
"(163, 54)",19,19.01
"(93, 429)",19,19.01
"(85, 33)",19,19.01
"(88, 1776)",19,19.01
"(339, 109)",19,19.01
"(289, 136)",19,19.01
"(163, 397)",19,19.01
"(443, 9)",19,19.01
"(390, 54)",19,19.01
"(286, 11)",19,19.01
"(244, 436)",19,19.01
"(496, 11)",19,19.01
"(668, 134)",19,19.01
"(254, 9)",19,19.01
"(101, 1446)",19,19.01
"(11, 471)",19,19.01
"(10, 1223)",19,19.01
"(348, 88)",19,19.01
"(11, 1857)",19,19.01
"(11, 1482)",19,19.01
"(183, 286)",19,19.01
"(85, 193)",19,19.01
"(220, 134)",18,18.01
"(303, 438)",18,18.01
"(101, 134)",18,18.01
"(11, 37)",18,18.01
"(333, 286)",18,18.01
"(907, 11)",18,18.01
"(181, 102)",18,18.01
"(96, 197)",18,18.01
"(89, 923)",18,18.01
"(108, 93)",18,18.01
"(97, 296)",18,18.01
"(9, 1091)",18,18.01
"(99, 147)",18,18.01
"(528, 127)",18,18.01
"(108, 101)",18,18.01
"(101, 493)",18,18.01
"(88, 867)",18,18.01
"(453, 9)",18,18.01
