ngram_ids,count,smoothed_count
"(995, 1926)",22,22.01
"(184, 416)",22,22.01
"(153, 136)",22,22.01
"(88, 1081)",22,22.01
"(219, 160)",21,21.01
"(348, 54)",21,21.01
"(1203, 6)",21,21.01
"(297, 136)",21,21.01
"(102, 558)",21,21.01
"(98, 109)",21,21.01
"(172, 102)",21,21.01
"(11, 1065)",21,21.01
"(34, 451)",21,21.01
"(581, 11)",21,21.01
"(350, 34)",21,21.01
"(214, 34)",21,21.01
"(753, 88)",21,21.01
"(88, 310)",21,21.01
"(11, 1313)",21,21.01
"(88, 315)",21,21.01
"(116, 528)",21,21.01
"(89, 204)",21,21.01
"(451, 114)",21,21.01
"(102, 220)",21,21.01
"(601, 101)",21,21.01
"(254, 9)",21,21.01
"(34, 458)",21,21.01
"(93, 102)",21,21.01
"(237, 54)",21,21.01
"(9, 166)",21,21.01
"(23, 6)",21,21.01
"(214, 116)",21,21.01
"(95, 9)",21,21.01
"(1525, 101)",20,20.01
"(267, 54)",20,20.01
"(88, 762)",20,20.01
"(225, 9)",20,20.01
"(258, 54)",20,20.01
"(108, 9)",20,20.01
"(184, 9)",20,20.01
"(166, 743)",20,20.01
"(656, 11)",20,20.01
"(106, 163)",20,20.01
"(191, 97)",20,20.01
"(181, 597)",20,20.01
"(72, 88)",20,20.01
"(555, 97)",20,20.01
"(214, 134)",20,20.01
"(116, 263)",20,20.01
"(9, 218)",20,20.01
"(292, 116)",20,20.01
"(10, 1916)",20,20.01
"(9, 1562)",20,20.01
"(330, 9)",20,20.01
"(102, 704)",20,20.01
"(34, 252)",20,20.01
"(263, 6)",20,20.01
"(219, 106)",20,20.01
"(54, 714)",20,20.01
"(93, 117)",20,20.01
"(97, 656)",20,20.01
"(184, 523)",20,20.01
"(88, 604)",20,20.01
"(1084, 101)",20,20.01
"(272, 348)",20,20.01
"(78, 11)",19,19.01
"(349, 9)",19,19.01
"(4, 127)",19,19.01
"(108, 11)",19,19.01
"(1086, 9)",19,19.01
"(142, 218)",19,19.01
"(547, 114)",19,19.01
"(333, 102)",19,19.01
"(184, 88)",19,19.01
"(220, 163)",19,19.01
"(10, 271)",19,19.01
"(11, 860)",19,19.01
"(89, 166)",19,19.01
"(93, 149)",19,19.01
"(214, 109)",19,19.01
"(574, 11)",19,19.01
"(581, 9)",19,19.01
"(755, 303)",19,19.01
"(191, 252)",19,19.01
"(1562, 9)",19,19.01
"(9, 271)",19,19.01
"(787, 557)",19,19.01
"(127, 54)",19,19.01
"(78, 101)",19,19.01
"(136, 102)",19,19.01
"(9, 608)",19,19.01
"(103, 102)",19,19.01
"(134, 181)",19,19.01
"(555, 184)",19,19.01
"(369, 11)",19,19.01
"(101, 191)",19,19.01
"(191, 160)",19,19.01
"(555, 4)",19,19.01
"(111, 101)",19,19.01
"(136, 333)",19,19.01
"(135, 399)",19,19.01
"(102, 744)",19,19.01
"(101, 218)",19,19.01
"(117, 89)",19,19.01
"(136, 163)",18,18.01
"(88, 651)",18,18.01
"(1047, 101)",18,18.01
"(117, 102)",18,18.01
"(436, 9)",18,18.01
"(136, 88)",18,18.01
"(97, 252)",18,18.01
"(99, 88)",18,18.01
"(89, 191)",18,18.01
"(93, 89)",18,18.01
"(555, 34)",18,18.01
"(88, 171)",18,18.01
"(88, 195)",18,18.01
"(476, 9)",18,18.01
"(88, 489)",18,18.01
"(98, 153)",18,18.01
"(93, 98)",18,18.01
"(88, 286)",18,18.01
"(9, 288)",18,18.01
"(54, 2010)",18,18.01
"(34, 9)",18,18.01
"(9, 870)",18,18.01
"(34, 656)",18,18.01
"(193, 109)",18,18.01
"(4, 29)",18,18.01
"(372, 114)",18,18.01
"(117, 96)",17,17.01
"(155, 9)",17,17.01
"(191, 88)",17,17.01
"(72, 191)",17,17.01
"(9, 94)",17,17.01
"(201, 88)",17,17.01
"(939, 9)",17,17.01
"(409, 6)",17,17.01
"(223, 136)",17,17.01
"(4, 44)",17,17.01
"(203, 135)",17,17.01
"(54, 72)",17,17.01
"(117, 90)",17,17.01
"(109, 147)",17,17.01
"(54, 882)",17,17.01
"(113, 102)",17,17.01
"(9, 462)",17,17.01
"(11, 462)",17,17.01
"(101, 462)",17,17.01
"(4, 356)",17,17.01
"(88, 493)",17,17.01
"(160, 89)",17,17.01
"(134, 263)",17,17.01
"(88, 1766)",17,17.01
"(109, 136)",17,17.01
"(397, 98)",17,17.01
"(34, 445)",17,17.01
"(135, 198)",17,17.01
"(103, 88)",17,17.01
"(101, 197)",17,17.01
"(254, 102)",17,17.01
"(155, 54)",17,17.01
"(307, 9)",17,17.01
"(2137, 101)",17,17.01
"(96, 172)",17,17.01
"(147, 113)",17,17.01
"(94, 102)",16,16.01
"(11, 654)",16,16.01
"(9, 96)",16,16.01
"(99, 237)",16,16.01
"(103, 11)",16,16.01
"(11, 1361)",16,16.01
"(88, 743)",16,16.01
"(54, 904)",16,16.01
"(89, 90)",16,16.01
"(656, 9)",16,16.01
"(109, 102)",16,16.01
"(88, 57)",16,16.01
"(104, 88)",16,16.01
"(9, 163)",16,16.01
"(72, 89)",16,16.01
"(293, 9)",16,16.01
"(93, 132)",16,16.01
"(9, 132)",16,16.01
"(574, 6)",16,16.01
"(11, 33)",16,16.01
"(4, 436)",16,16.01
"(364, 9)",16,16.01
"(671, 9)",16,16.01
"(502, 9)",16,16.01
"(88, 89)",16,16.01
"(227, 9)",16,16.01
"(72, 102)",16,16.01
"(34, 407)",16,16.01
"(142, 109)",16,16.01
"(9, 153)",16,16.01
"(127, 241)",16,16.01
"(11, 1516)",16,16.01
"(25, 34)",16,16.01
